
2024/12/29 (17:48:44) | ===> btop++ v.1.4.0
2024/12/29 (17:48:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (17:51:19) | ===> btop++ v.1.4.0
2024/12/29 (17:51:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/01 (11:00:13) | ===> btop++ v.1.4.0
2025/01/01 (11:00:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/01 (15:36:56) | ===> btop++ v.1.4.0
2025/01/01 (15:36:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/01 (15:49:28) | ===> btop++ v.1.4.0
2025/01/01 (15:49:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/01 (16:05:25) | ===> btop++ v.1.4.0
2025/01/01 (16:05:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/01 (18:26:50) | ===> btop++ v.1.4.0
2025/01/01 (18:26:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/01 (18:34:34) | ===> btop++ v.1.4.0
2025/01/01 (18:34:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/01 (18:49:34) | ===> btop++ v.1.4.0
2025/01/01 (18:49:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/02 (13:08:57) | ===> btop++ v.1.4.0
2025/01/02 (13:08:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/04 (15:50:33) | ===> btop++ v.1.4.0
2025/01/04 (15:50:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/11 (13:21:03) | ===> btop++ v.1.4.0
2025/01/11 (13:21:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/18 (23:33:19) | ===> btop++ v.1.4.0
2025/01/18 (23:33:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/19 (17:34:49) | ===> btop++ v.1.4.0
2025/01/19 (17:34:49) | WARNING: Intel GPU: Failed to initialize PMU
